player_name,player_steamid,event_name,tick,match_id
Luiz,76561198100001022,weapon_zoom,110661,c3ddd683
Luiz,76561198100001022,weapon_zoom,110681,c3ddd683
Luiz,76561198100001022,weapon_zoom,110711,c3ddd683
Luiz,76561198100001022,weapon_zoom,110731,c3ddd683
Luiz,76561198100001022,weapon_zoom,111173,c3ddd683
Luiz,76561198100001022,weapon_zoom,111193,c3ddd683
Luiz,76561198100001022,weapon_zoom,111215,c3ddd683
Luiz,76561198100001022,weapon_zoom,114099,c3ddd683
Erick,76561198000238678,weapon_zoom,114211,c3ddd683
Luiz,76561198100001022,weapon_zoom,114459,c3ddd683
Luiz,76561198100001022,weapon_zoom,114485,c3ddd683
Luiz,76561198100001022,weapon_zoom,114505,c3ddd683
Luiz,76561198100001022,weapon_zoom,115443,c3ddd683
Luiz,76561198100001022,weapon_zoom,115585,c3ddd683
Luiz,76561198100001022,weapon_zoom,115611,c3ddd683
Luiz,76561198100001022,weapon_zoom,115631,c3ddd683
Luiz,76561198100001022,weapon_zoom,115927,c3ddd683
Erick,76561198000238678,weapon_zoom,116221,c3ddd683
Erick,76561198000238678,weapon_zoom,116369,c3ddd683
Erick,76561198000238678,weapon_zoom,116689,c3ddd683
Erick,76561198000238678,weapon_zoom,117479,c3ddd683
Erick,76561198000238678,weapon_zoom,118115,c3ddd683
MonsTro,76561198340888446,weapon_zoom,173739,c3ddd683
MonsTro,76561198340888446,weapon_zoom,175021,c3ddd683
MonsTro,76561198340888446,weapon_zoom,175065,c3ddd683
MonsTro,76561198340888446,weapon_zoom,175085,c3ddd683
MonsTro,76561198340888446,weapon_zoom,175263,c3ddd683
MonsTro,76561198340888446,weapon_zoom,175419,c3ddd683
MonsTro,76561198340888446,weapon_zoom,175439,c3ddd683
MonsTro,76561198340888446,weapon_zoom,175699,c3ddd683
MonsTro,76561198340888446,weapon_zoom,175725,c3ddd683
MonsTro,76561198340888446,weapon_zoom,175745,c3ddd683
MonsTro,76561198340888446,weapon_zoom,175869,c3ddd683
MonsTro,76561198340888446,weapon_zoom,175955,c3ddd683
MonsTro,76561198340888446,weapon_zoom,175987,c3ddd683
MonsTro,76561198340888446,weapon_zoom,176239,c3ddd683
MonsTro,76561198340888446,weapon_zoom,176293,c3ddd683
MonsTro,76561198340888446,weapon_zoom,176313,c3ddd683
MonsTro,76561198340888446,weapon_zoom,177203,c3ddd683
MonsTro,76561198340888446,weapon_zoom,177333,c3ddd683
MonsTro,76561198340888446,weapon_zoom,177499,c3ddd683
MonsTro,76561198340888446,weapon_zoom,181206,c3ddd683
MonsTro,76561198340888446,weapon_zoom,181228,c3ddd683
MonsTro,76561198340888446,weapon_zoom,182582,c3ddd683
MonsTro,76561198340888446,weapon_zoom,182882,c3ddd683
MonsTro,76561198340888446,weapon_zoom,183442,c3ddd683
MonsTro,76561198340888446,weapon_zoom,187143,c3ddd683
MonsTro,76561198340888446,weapon_zoom,187675,c3ddd683
