player_name,player_steamid,event_name,site,tick,match_id
Luiz,76561198100001022,bomb_defused,519,45274,c3ddd683
AVARA KÉRABA,76561198397576589,bomb_defused,102,130515,c3ddd683
AVARA KÉRABA,76561198397576589,bomb_defused,102,171383,c3ddd683
