round,fov,offset,posz,tick,phi,posy,posx,theta,target,event_name
0,80.03924560546875,0,187,0,133,-1072,-1075,343,0,hltv_fixed
0,54.03943634033203,0,187,0,133,-1072,-1075,343,0,hltv_fixed
0,85.11631774902344,0,187,0,133,-1072,-1075,343,0,hltv_fixed
0,77.72808837890625,0,187,0,133,-1072,-1075,343,0,hltv_fixed
0,64.5960693359375,0,187,0,133,-1072,-1075,343,0,hltv_fixed
0,82.3439712524414,0,187,0,133,-1072,-1075,343,0,hltv_fixed
0,105.86972045898438,0,187,0,133,-1072,-1075,343,0,hltv_fixed
0,69.92462921142578,0,187,0,133,-1072,-1075,343,0,hltv_fixed
