player_name,player_steamid,event_name,tick,round
Luiz,76561198100001022,player_footstep,138115,0
Erick,76561198000238678,player_footstep,138123,0
Talevor,76561198124241179,player_footstep,138123,0
Luiz,76561198100001022,player_footstep,138139,0
Talevor,76561198124241179,player_footstep,138141,0
Erick,76561198000238678,player_footstep,138147,0
Erick,76561198000238678,player_footstep,138153,0
Luiz,76561198100001022,player_footstep,138159,0
Talevor,76561198124241179,player_footstep,138159,0
Luiz,76561198100001022,player_footstep,138175,0
Talevor,76561198124241179,player_footstep,138179,0
Erick,76561198000238678,player_footstep,138197,0
Talevor,76561198124241179,player_footstep,138199,0
Erick,76561198000238678,player_footstep,138215,0
Talevor,76561198124241179,player_footstep,138217,0
Luiz,76561198100001022,player_footstep,138223,0
Erick,76561198000238678,player_footstep,138227,0
Talevor,76561198124241179,player_footstep,138237,0
Luiz,76561198100001022,player_footstep,138241,0
Talevor,76561198124241179,player_footstep,138255,0
Luiz,76561198100001022,player_footstep,138261,0
Erick,76561198000238678,player_footstep,138273,0
Talevor,76561198124241179,player_footstep,138273,0
Luiz,76561198100001022,player_footstep,138279,0
Erick,76561198000238678,player_footstep,138293,0
Erick,76561198000238678,player_footstep,138293,0
Talevor,76561198124241179,player_footstep,138293,0
Luiz,76561198100001022,player_footstep,138299,0
Talevor,76561198124241179,player_footstep,138311,0
Talevor,76561198124241179,player_footstep,138313,0
Luiz,76561198100001022,player_footstep,138317,0
Talevor,76561198124241179,player_footstep,138345,0
Erick,76561198000238678,player_footstep,138347,0
Talevor,76561198124241179,player_footstep,139659,0
rodrigaoobrabo,76561198421514418,player_footstep,139659,0
Erick,76561198000238678,player_footstep,139659,0
Connan,76561198026214582,player_footstep,139659,0
MonsTro,76561198340888446,player_footstep,139659,0
【﻿ＰＫ】,76561197996437459,player_footstep,139659,0
Siraissi,76561198178993731,player_footstep,139659,0
Cujura,76561198051880621,player_footstep,139659,0
Luiz,76561198100001022,player_footstep,139659,0
AVARA KÉRABA,76561198397576589,player_footstep,139661,0
Talevor,76561198124241179,player_footstep,139677,0
rodrigaoobrabo,76561198421514418,player_footstep,139679,0
Erick,76561198000238678,player_footstep,139679,0
Connan,76561198026214582,player_footstep,139679,0
【﻿ＰＫ】,76561197996437459,player_footstep,139679,0
Siraissi,76561198178993731,player_footstep,139679,0
Cujura,76561198051880621,player_footstep,139679,0
Luiz,76561198100001022,player_footstep,139679,0
AVARA KÉRABA,76561198397576589,player_footstep,139679,0
MonsTro,76561198340888446,player_footstep,139685,0
rodrigaoobrabo,76561198421514418,player_footstep,139697,0
Erick,76561198000238678,player_footstep,139697,0
Connan,76561198026214582,player_footstep,139697,0
【﻿ＰＫ】,76561197996437459,player_footstep,139697,0
Siraissi,76561198178993731,player_footstep,139697,0
Talevor,76561198124241179,player_footstep,139697,0
Cujura,76561198051880621,player_footstep,139697,0
Luiz,76561198100001022,player_footstep,139697,0
AVARA KÉRABA,76561198397576589,player_footstep,139699,0
MonsTro,76561198340888446,player_footstep,139703,0
rodrigaoobrabo,76561198421514418,player_footstep,139717,0
Erick,76561198000238678,player_footstep,139717,0
Connan,76561198026214582,player_footstep,139717,0
【﻿ＰＫ】,76561197996437459,player_footstep,139717,0
Siraissi,76561198178993731,player_footstep,139717,0
Talevor,76561198124241179,player_footstep,139717,0
Luiz,76561198100001022,player_footstep,139717,0
AVARA KÉRABA,76561198397576589,player_footstep,139717,0
MonsTro,76561198340888446,player_footstep,139723,0
Cujura,76561198051880621,player_footstep,139723,0
rodrigaoobrabo,76561198421514418,player_footstep,139735,0
Erick,76561198000238678,player_footstep,139735,0
【﻿ＰＫ】,76561197996437459,player_footstep,139735,0
Siraissi,76561198178993731,player_footstep,139735,0
Talevor,76561198124241179,player_footstep,139735,0
Luiz,76561198100001022,player_footstep,139735,0
AVARA KÉRABA,76561198397576589,player_footstep,139737,0
MonsTro,76561198340888446,player_footstep,139741,0
Cujura,76561198051880621,player_footstep,139741,0
Talevor,76561198124241179,player_footstep,139753,0
rodrigaoobrabo,76561198421514418,player_footstep,139755,0
Erick,76561198000238678,player_footstep,139755,0
【﻿ＰＫ】,76561197996437459,player_footstep,139755,0
Siraissi,76561198178993731,player_footstep,139755,0
Luiz,76561198100001022,player_footstep,139755,0
AVARA KÉRABA,76561198397576589,player_footstep,139755,0
Connan,76561198026214582,player_footstep,139757,0
MonsTro,76561198340888446,player_footstep,139761,0
Cujura,76561198051880621,player_footstep,139761,0
rodrigaoobrabo,76561198421514418,player_footstep,139773,0
Erick,76561198000238678,player_footstep,139773,0
【﻿ＰＫ】,76561197996437459,player_footstep,139773,0
Siraissi,76561198178993731,player_footstep,139773,0
Talevor,76561198124241179,player_footstep,139773,0
Luiz,76561198100001022,player_footstep,139773,0
AVARA KÉRABA,76561198397576589,player_footstep,139775,0
MonsTro,76561198340888446,player_footstep,139779,0
Cujura,76561198051880621,player_footstep,139779,0
Connan,76561198026214582,player_footstep,139789,0
rodrigaoobrabo,76561198421514418,player_footstep,139793,0
Erick,76561198000238678,player_footstep,139793,0
【﻿ＰＫ】,76561197996437459,player_footstep,139793,0
Siraissi,76561198178993731,player_footstep,139793,0
Talevor,76561198124241179,player_footstep,139793,0
Luiz,76561198100001022,player_footstep,139793,0
MonsTro,76561198340888446,player_footstep,139799,0
Cujura,76561198051880621,player_footstep,139799,0
Connan,76561198026214582,player_footstep,139807,0
Talevor,76561198124241179,player_footstep,139811,0
rodrigaoobrabo,76561198421514418,player_footstep,139811,0
Erick,76561198000238678,player_footstep,139811,0
【﻿ＰＫ】,76561197996437459,player_footstep,139811,0
Luiz,76561198100001022,player_footstep,139811,0
MonsTro,76561198340888446,player_footstep,139817,0
AVARA KÉRABA,76561198397576589,player_footstep,139819,0
Siraissi,76561198178993731,player_footstep,139825,0
Connan,76561198026214582,player_footstep,139827,0
Talevor,76561198124241179,player_footstep,139829,0
rodrigaoobrabo,76561198421514418,player_footstep,139831,0
Erick,76561198000238678,player_footstep,139831,0
【﻿ＰＫ】,76561197996437459,player_footstep,139831,0
Luiz,76561198100001022,player_footstep,139831,0
MonsTro,76561198340888446,player_footstep,139837,0
Cujura,76561198051880621,player_footstep,139843,0
Siraissi,76561198178993731,player_footstep,139845,0
Connan,76561198026214582,player_footstep,139845,0
Talevor,76561198124241179,player_footstep,139849,0
rodrigaoobrabo,76561198421514418,player_footstep,139849,0
Erick,76561198000238678,player_footstep,139849,0
【﻿ＰＫ】,76561197996437459,player_footstep,139849,0
Luiz,76561198100001022,player_footstep,139849,0
AVARA KÉRABA,76561198397576589,player_footstep,139855,0
MonsTro,76561198340888446,player_footstep,139855,0
Siraissi,76561198178993731,player_footstep,139863,0
Connan,76561198026214582,player_footstep,139865,0
rodrigaoobrabo,76561198421514418,player_footstep,139869,0
Erick,76561198000238678,player_footstep,139869,0
【﻿ＰＫ】,76561197996437459,player_footstep,139869,0
Luiz,76561198100001022,player_footstep,139869,0
AVARA KÉRABA,76561198397576589,player_footstep,139873,0
Talevor,76561198124241179,player_footstep,139873,0
MonsTro,76561198340888446,player_footstep,139875,0
Cujura,76561198051880621,player_footstep,139879,0
Siraissi,76561198178993731,player_footstep,139883,0
rodrigaoobrabo,76561198421514418,player_footstep,139887,0
Erick,76561198000238678,player_footstep,139887,0
【﻿ＰＫ】,76561197996437459,player_footstep,139887,0
Luiz,76561198100001022,player_footstep,139887,0
Connan,76561198026214582,player_footstep,139889,0
AVARA KÉRABA,76561198397576589,player_footstep,139893,0
MonsTro,76561198340888446,player_footstep,139893,0
Cujura,76561198051880621,player_footstep,139897,0
Talevor,76561198124241179,player_footstep,139899,0
Siraissi,76561198178993731,player_footstep,139901,0
rodrigaoobrabo,76561198421514418,player_footstep,139907,0
Erick,76561198000238678,player_footstep,139907,0
【﻿ＰＫ】,76561197996437459,player_footstep,139907,0
Luiz,76561198100001022,player_footstep,139907,0
Connan,76561198026214582,player_footstep,139909,0
AVARA KÉRABA,76561198397576589,player_footstep,139911,0
MonsTro,76561198340888446,player_footstep,139913,0
Cujura,76561198051880621,player_footstep,139917,0
Siraissi,76561198178993731,player_footstep,139921,0
rodrigaoobrabo,76561198421514418,player_footstep,139925,0
Erick,76561198000238678,player_footstep,139925,0
【﻿ＰＫ】,76561197996437459,player_footstep,139925,0
Luiz,76561198100001022,player_footstep,139925,0
Connan,76561198026214582,player_footstep,139927,0
AVARA KÉRABA,76561198397576589,player_footstep,139929,0
Talevor,76561198124241179,player_footstep,139931,0
MonsTro,76561198340888446,player_footstep,139933,0
Cujura,76561198051880621,player_footstep,139935,0
Siraissi,76561198178993731,player_footstep,139939,0
rodrigaoobrabo,76561198421514418,player_footstep,139945,0
Erick,76561198000238678,player_footstep,139945,0
【﻿ＰＫ】,76561197996437459,player_footstep,139945,0
Luiz,76561198100001022,player_footstep,139945,0
Connan,76561198026214582,player_footstep,139947,0
AVARA KÉRABA,76561198397576589,player_footstep,139949,0
MonsTro,76561198340888446,player_footstep,139951,0
Cujura,76561198051880621,player_footstep,139955,0
Talevor,76561198124241179,player_footstep,139955,0
Siraissi,76561198178993731,player_footstep,139959,0
rodrigaoobrabo,76561198421514418,player_footstep,139963,0
Erick,76561198000238678,player_footstep,139963,0
【﻿ＰＫ】,76561197996437459,player_footstep,139963,0
Luiz,76561198100001022,player_footstep,139963,0
AVARA KÉRABA,76561198397576589,player_footstep,139969,0
MonsTro,76561198340888446,player_footstep,139969,0
Connan,76561198026214582,player_footstep,139971,0
Cujura,76561198051880621,player_footstep,139973,0
Talevor,76561198124241179,player_footstep,139975,0
Siraissi,76561198178993731,player_footstep,139977,0
rodrigaoobrabo,76561198421514418,player_footstep,139983,0
Erick,76561198000238678,player_footstep,139983,0
【﻿ＰＫ】,76561197996437459,player_footstep,139983,0
Luiz,76561198100001022,player_footstep,139983,0
AVARA KÉRABA,76561198397576589,player_footstep,139987,0
MonsTro,76561198340888446,player_footstep,139989,0
Connan,76561198026214582,player_footstep,139991,0
Cujura,76561198051880621,player_footstep,139993,0
Talevor,76561198124241179,player_footstep,139995,0
Siraissi,76561198178993731,player_footstep,139997,0
rodrigaoobrabo,76561198421514418,player_footstep,140001,0
Erick,76561198000238678,player_footstep,140001,0
【﻿ＰＫ】,76561197996437459,player_footstep,140001,0
Luiz,76561198100001022,player_footstep,140001,0
AVARA KÉRABA,76561198397576589,player_footstep,140007,0
MonsTro,76561198340888446,player_footstep,140007,0
Connan,76561198026214582,player_footstep,140009,0
Cujura,76561198051880621,player_footstep,140011,0
Siraissi,76561198178993731,player_footstep,140015,0
rodrigaoobrabo,76561198421514418,player_footstep,140021,0
Erick,76561198000238678,player_footstep,140021,0
【﻿ＰＫ】,76561197996437459,player_footstep,140021,0
Luiz,76561198100001022,player_footstep,140021,0
MonsTro,76561198340888446,player_footstep,140027,0
Connan,76561198026214582,player_footstep,140029,0
Cujura,76561198051880621,player_footstep,140031,0
AVARA KÉRABA,76561198397576589,player_footstep,140031,0
Siraissi,76561198178993731,player_footstep,140035,0
rodrigaoobrabo,76561198421514418,player_footstep,140039,0
Erick,76561198000238678,player_footstep,140039,0
【﻿ＰＫ】,76561197996437459,player_footstep,140039,0
Luiz,76561198100001022,player_footstep,140039,0
