tick,slots,master,event_name,match_id
85596,50,,hltv_status,c3ddd683
86110,50,,hltv_status,c3ddd683
86622,50,,hltv_status,c3ddd683
87134,50,,hltv_status,c3ddd683
87646,50,,hltv_status,c3ddd683
88160,50,,hltv_status,c3ddd683
88672,50,,hltv_status,c3ddd683
89184,50,,hltv_status,c3ddd683
89698,50,,hltv_status,c3ddd683
90210,50,,hltv_status,c3ddd683
90722,50,,hltv_status,c3ddd683
91236,50,,hltv_status,c3ddd683
91749,50,,hltv_status,c3ddd683
92261,50,,hltv_status,c3ddd683
92773,50,,hltv_status,c3ddd683
93285,50,,hltv_status,c3ddd683
93797,50,,hltv_status,c3ddd683
94311,50,,hltv_status,c3ddd683
94823,50,,hltv_status,c3ddd683
95335,50,,hltv_status,c3ddd683
95847,50,,hltv_status,c3ddd683
96361,50,,hltv_status,c3ddd683
96873,50,,hltv_status,c3ddd683
97385,50,,hltv_status,c3ddd683
97897,50,,hltv_status,c3ddd683
98411,50,,hltv_status,c3ddd683
98923,50,,hltv_status,c3ddd683
99435,50,,hltv_status,c3ddd683
99947,50,,hltv_status,c3ddd683
100459,50,,hltv_status,c3ddd683
100972,50,,hltv_status,c3ddd683
101484,50,,hltv_status,c3ddd683
101996,50,,hltv_status,c3ddd683
102508,50,,hltv_status,c3ddd683
103020,50,,hltv_status,c3ddd683
103532,50,,hltv_status,c3ddd683
104046,50,,hltv_status,c3ddd683
104558,50,,hltv_status,c3ddd683
105070,50,,hltv_status,c3ddd683
105584,50,,hltv_status,c3ddd683
106096,50,,hltv_status,c3ddd683
106608,50,,hltv_status,c3ddd683
107122,50,,hltv_status,c3ddd683
107635,50,,hltv_status,c3ddd683
108147,50,,hltv_status,c3ddd683
108659,50,,hltv_status,c3ddd683
109173,50,,hltv_status,c3ddd683
109685,50,,hltv_status,c3ddd683
110197,50,,hltv_status,c3ddd683
110711,50,,hltv_status,c3ddd683
111223,50,,hltv_status,c3ddd683
111735,50,,hltv_status,c3ddd683
112247,50,,hltv_status,c3ddd683
