player_steamid,tick,player_name,z,entityid,y,x,event_name,round
76561198124241179,6109,Talevor,33.2821044921875,101,-513.523193359375,-459.9848327636719,hegrenade_detonate,0
76561197996437459,8601,【﻿ＰＫ】,574.1250610351562,166,652.7533569335938,-2529.669189453125,hegrenade_detonate,0
76561198026214582,9433,Connan,106.3492202758789,166,455.15057373046875,-863.2330322265625,hegrenade_detonate,0
76561198051880621,16169,Cujura,514.0843505859375,267,-1527.1239013671875,-2842.152099609375,hegrenade_detonate,0
76561198100001022,16297,Luiz,454.31591796875,167,-2366.839599609375,-1865.245849609375,hegrenade_detonate,0
76561198124241179,16307,Talevor,38.474708557128906,369,-577.3220825195312,-558.1161499023438,hegrenade_detonate,0
76561198397576589,16479,AVARA KÉRABA,615.1156616210938,173,-1877.07373046875,-2996.97900390625,hegrenade_detonate,0
76561198100001022,24884,Luiz,448.8564758300781,203,-2392.592041015625,-1826.725341796875,hegrenade_detonate,0
76561198051880621,25214,Cujura,544.3687744140625,173,-1465.8973388671875,-2923.532958984375,hegrenade_detonate,0
76561198397576589,26724,AVARA KÉRABA,543.138671875,101,-2064.919189453125,-3635.128662109375,hegrenade_detonate,0
76561198178993731,30305,Siraissi,472.7421875,389,-1463.334716796875,-2879.1689453125,hegrenade_detonate,0
76561198397576589,30349,AVARA KÉRABA,451.1075134277344,576,-1445.428955078125,-2840.072021484375,hegrenade_detonate,0
76561197996437459,34613,【﻿ＰＫ】,480.431884765625,166,610.3228149414062,-2020.6575927734375,hegrenade_detonate,0
76561198051880621,34889,Cujura,460.8066101074219,245,1304.016845703125,-1856.4061279296875,hegrenade_detonate,0
76561198178993731,38178,Siraissi,458.00592041015625,101,-1516.603515625,-2876.57080078125,hegrenade_detonate,0
76561198051880621,38210,Cujura,541.1934814453125,484,-1489.6451416015625,-2928.337890625,hegrenade_detonate,0
76561198100001022,38210,Luiz,505.736328125,486,-2369.21875,-1888.24560546875,hegrenade_detonate,0
76561198397576589,38240,AVARA KÉRABA,483.0785217285156,492,-1897.4427490234375,-2531.083251953125,hegrenade_detonate,0
76561198340888446,47656,MonsTro,473.49713134765625,571,-1577.5399169921875,-2880.553466796875,hegrenade_detonate,0
76561198178993731,47800,Siraissi,500.9586181640625,408,-1450.46826171875,-2885.2568359375,hegrenade_detonate,0
76561197996437459,49710,【﻿ＰＫ】,107.61387634277344,268,-463.46075439453125,-959.9051513671875,hegrenade_detonate,0
76561198000238678,53554,Erick,169.14395141601562,270,149.2459716796875,-1230.628662109375,hegrenade_detonate,0
76561198000238678,55999,Erick,189.82513427734375,340,-889.0394897460938,-1272.380126953125,hegrenade_detonate,0
76561198421514418,58501,rodrigaoobrabo,493.6650390625,268,221.568359375,-3167.19091796875,hegrenade_detonate,0
76561197996437459,58767,【﻿ＰＫ】,413.9366760253906,227,-63.488712310791016,-2402.649169921875,hegrenade_detonate,0
76561198178993731,61738,Siraissi,496.2821960449219,610,-1489.27490234375,-2849.8427734375,hegrenade_detonate,0
76561198000238678,64460,Erick,114.30033111572266,245,-805.1932983398438,-1704.254638671875,hegrenade_detonate,0
76561197996437459,64810,【﻿ＰＫ】,164.6912841796875,101,-445.2590026855469,-1558.311279296875,hegrenade_detonate,0
76561198421514418,68224,rodrigaoobrabo,111.47623443603516,227,30.182926177978516,-1251.7535400390625,hegrenade_detonate,0
76561198397576589,72099,AVARA KÉRABA,470.3121337890625,531,-1422.305908203125,-2849.3037109375,hegrenade_detonate,0
76561198051880621,72121,Cujura,435.9574279785156,560,-1514.190673828125,-2868.85498046875,hegrenade_detonate,0
76561198178993731,72167,Siraissi,506.2153625488281,571,-1495.26123046875,-2889.615478515625,hegrenade_detonate,0
76561198100001022,72227,Luiz,468.7605895996094,303,-2127.753173828125,-2010.712158203125,hegrenade_detonate,0
76561197996437459,74555,【﻿ＰＫ】,538.7266845703125,203,751.6893310546875,-2803.054443359375,hegrenade_detonate,0
76561198178993731,77525,Siraissi,453.6701354980469,288,-1482.775390625,-2847.21435546875,hegrenade_detonate,0
76561198051880621,77719,Cujura,541.1826782226562,245,-1506.8057861328125,-2923.100341796875,hegrenade_detonate,0
76561198397576589,79663,AVARA KÉRABA,335.69110107421875,270,-1285.9737548828125,-1846.532470703125,hegrenade_detonate,0
76561198397576589,84462,AVARA KÉRABA,483.97344970703125,340,-1396.57373046875,-2863.577392578125,hegrenade_detonate,0
76561198178993731,84500,Siraissi,491.9068908691406,544,-1483.0992431640625,-2854.663818359375,hegrenade_detonate,0
76561198124241179,84652,Talevor,16.28388786315918,369,-511.8869934082031,-469.56121826171875,hegrenade_detonate,0
76561198100001022,84664,Luiz,476.47833251953125,568,-2369.203125,-1879.313232421875,hegrenade_detonate,0
76561198051880621,85820,Cujura,134.8180389404297,161,-991.9484252929688,-1871.2322998046875,hegrenade_detonate,0
76561198421514418,86388,rodrigaoobrabo,529.5101318359375,101,-1659.082763671875,-3938.091552734375,hegrenade_detonate,0
76561197996437459,89958,【﻿ＰＫ】,106.559814453125,172,-503.3991394042969,-994.643798828125,hegrenade_detonate,0
76561198000238678,90074,Erick,494.99261474609375,203,-100.12396240234375,-2360.55029296875,hegrenade_detonate,0
76561198397576589,93563,AVARA KÉRABA,474.9846496582031,307,-1888.1162109375,-2506.927001953125,hegrenade_detonate,0
76561198178993731,93637,Siraissi,563.285400390625,303,-1524.196044921875,-2954.68310546875,hegrenade_detonate,0
76561198100001022,93709,Luiz,415.9827575683594,308,-2409.13330078125,-1770.09521484375,hegrenade_detonate,0
