distance,tick,phi,ineye,target1,theta,target2,event_name,match_id
112,174421,20,1,8,20,2,hltv_chase,c3ddd683
96,174805,-20,1,11,30,3,hltv_chase,c3ddd683
96,175221,-20,1,2,30,0,hltv_chase,c3ddd683
96,175543,-20,1,13,30,11,hltv_chase,c3ddd683
96,176063,-20,1,12,30,0,hltv_chase,c3ddd683
96,176269,-20,1,12,30,0,hltv_chase,c3ddd683
112,176647,20,1,9,-20,2,hltv_chase,c3ddd683
96,177031,-20,1,6,30,0,hltv_chase,c3ddd683
96,177607,-20,1,4,30,9,hltv_chase,c3ddd683
96,177851,-20,1,2,30,0,hltv_chase,c3ddd683
96,178147,-20,1,13,30,0,hltv_chase,c3ddd683
112,178341,20,1,2,20,13,hltv_chase,c3ddd683
96,178725,-20,1,13,-30,2,hltv_chase,c3ddd683
112,178953,20,1,4,-20,12,hltv_chase,c3ddd683
96,179466,-20,1,11,30,0,hltv_chase,c3ddd683
96,179788,-20,1,2,30,0,hltv_chase,c3ddd683
112,180200,20,1,2,-20,9,hltv_chase,c3ddd683
96,180584,-20,1,4,30,0,hltv_chase,c3ddd683
96,180996,-20,1,5,30,0,hltv_chase,c3ddd683
96,181230,-20,1,2,30,3,hltv_chase,c3ddd683
96,181632,-20,1,5,30,13,hltv_chase,c3ddd683
96,181958,-20,1,11,30,0,hltv_chase,c3ddd683
96,182338,-20,1,12,-30,9,hltv_chase,c3ddd683
