player_steamid,tick,player_name,z,entityid,y,x,event_name,round
76561197996437459,6143,【﻿ＰＫ】,130.86785888671875,269,322.9631042480469,-498.238525390625,flashbang_detonate,0
76561198051880621,9461,Cujura,315.57257080078125,269,288.68255615234375,-896.6910400390625,flashbang_detonate,0
76561197996437459,9969,【﻿ＰＫ】,116.32975769042969,166,263.17620849609375,-1215.3394775390625,flashbang_detonate,0
76561198340888446,16173,MonsTro,228.44448852539062,473,-1419.0931396484375,-433.3216552734375,flashbang_detonate,0
76561198340888446,16419,MonsTro,16.97169303894043,231,-476.0794677734375,-490.2769470214844,flashbang_detonate,0
76561198124241179,16713,Talevor,7.950949668884277,231,-579.5638427734375,-537.7857055664062,flashbang_detonate,0
76561198051880621,17015,Cujura,764.3319702148438,167,-869.8236083984375,-3701.00830078125,flashbang_detonate,0
76561198124241179,17269,Talevor,10.011064529418945,167,-586.3175048828125,-511.6091613769531,flashbang_detonate,0
76561198051880621,24722,Cujura,1003.201171875,204,-1881.8330078125,-1738.0174560546875,flashbang_detonate,0
76561198000238678,24936,Erick,681.3021850585938,204,-2283.8681640625,-3049.434814453125,flashbang_detonate,0
76561198340888446,25044,MonsTro,761.9556274414062,173,-2280.617431640625,-3877.540771484375,flashbang_detonate,0
76561198397576589,27274,AVARA KÉRABA,695.0440673828125,176,-1752.12158203125,-3603.97216796875,flashbang_detonate,0
76561197996437459,30347,【﻿ＰＫ】,281.58258056640625,572,-872.8324584960938,-423.3096008300781,flashbang_detonate,0
76561198124241179,30469,Talevor,63.394752502441406,203,-329.78607177734375,-470.4283447265625,flashbang_detonate,0
76561198000238678,30487,Erick,540.0784912109375,309,-1772.6839599609375,-2676.773193359375,flashbang_detonate,0
76561198397576589,30687,AVARA KÉRABA,797.0929565429688,203,-2046.526611328125,-2290.94873046875,flashbang_detonate,0
76561197996437459,30725,【﻿ＰＫ】,153.89772033691406,281,305.7327575683594,-310.6128234863281,flashbang_detonate,0
76561198051880621,31193,Cujura,706.8717041015625,168,-858.7760620117188,-2236.189453125,flashbang_detonate,0
76561198421514418,31577,rodrigaoobrabo,658.7486572265625,168,-11.24416732788086,-3375.981689453125,flashbang_detonate,0
76561198124241179,32575,Talevor,41.04490280151367,168,-208.76893615722656,-544.41455078125,flashbang_detonate,0
76561198340888446,33017,MonsTro,700.4160766601562,101,28.56241226196289,-2387.255126953125,flashbang_detonate,0
76561198178993731,33213,Siraissi,575.4468994140625,101,-126.414306640625,-3517.921875,flashbang_detonate,0
76561198026214582,35339,Connan,590.31640625,166,1213.31298828125,-1765.516357421875,flashbang_detonate,0
76561198051880621,38350,Cujura,440.82025146484375,228,-1373.0140380859375,-2708.90380859375,flashbang_detonate,0
76561198000238678,38380,Erick,8.79550838470459,274,-650.9450073242188,-1504.0421142578125,flashbang_detonate,0
76561198397576589,39910,AVARA KÉRABA,899.9420166015625,172,-1997.628173828125,-1913.20458984375,flashbang_detonate,0
76561198100001022,47622,Luiz,647.3953247070312,408,-1989.6253662109375,-2208.636474609375,flashbang_detonate,0
76561197996437459,47762,【﻿ＰＫ】,224.637451171875,448,-618.6002807617188,-457.2758483886719,flashbang_detonate,0
76561198340888446,47918,MonsTro,716.9942016601562,370,-2323.19580078125,-3772.2939453125,flashbang_detonate,0
76561198397576589,47942,AVARA KÉRABA,967.8681640625,448,-2088.26904296875,-2333.8935546875,flashbang_detonate,0
76561197996437459,48652,【﻿ＰＫ】,454.9793395996094,267,-599.5346069335938,-1229.8675537109375,flashbang_detonate,0
76561198100001022,48742,Luiz,625.4180908203125,269,-1089.0916748046875,-2254.024169921875,flashbang_detonate,0
76561198397576589,49566,AVARA KÉRABA,858.6435546875,267,-1768.544189453125,-3835.328857421875,flashbang_detonate,0
76561198124241179,50302,Talevor,329.94573974609375,247,-800.3192138671875,-585.8251953125,flashbang_detonate,0
76561198000238678,51820,Erick,633.4078979492188,101,1029.252197265625,-2806.432373046875,flashbang_detonate,0
76561198051880621,53072,Cujura,170.5869140625,231,66.52619171142578,-1022.2933349609375,flashbang_detonate,0
76561198124241179,53096,Talevor,10.597553253173828,246,-83.24178314208984,-618.2766723632812,flashbang_detonate,0
76561198051880621,56083,Cujura,755.4661254882812,287,-1889.0057373046875,-2727.771240234375,flashbang_detonate,0
76561197996437459,56261,【﻿ＰＫ】,160.89227294921875,274,105.08162689208984,-399.42059326171875,flashbang_detonate,0
76561198000238678,57521,Erick,859.036865234375,124,1237.6920166015625,-3037.418701171875,flashbang_detonate,0
76561198124241179,57745,Talevor,29.36940574645996,124,-175.15599060058594,-566.5468139648438,flashbang_detonate,0
76561198100001022,57835,Luiz,718.7825927734375,302,418.8006896972656,-3065.5615234375,flashbang_detonate,0
76561198100001022,58085,Luiz,640.278076171875,268,440.29864501953125,-3021.591796875,flashbang_detonate,0
76561198051880621,61476,Cujura,962.7265014648438,610,-1670.0142822265625,-1702.471435546875,flashbang_detonate,0
76561198100001022,61612,Luiz,669.6917724609375,302,-1803.681884765625,-2242.025146484375,flashbang_detonate,0
76561198421514418,62650,rodrigaoobrabo,647.1585693359375,231,104.0560531616211,-3461.422119140625,flashbang_detonate,0
76561198124241179,62856,Talevor,52.839927673339844,101,-303.4455261230469,-490.646484375,flashbang_detonate,0
76561198051880621,63104,Cujura,140.05325317382812,101,-902.3989868164062,-1980.99267578125,flashbang_detonate,0
76561198340888446,64432,MonsTro,471.80572509765625,228,-912.7611694335938,-2961.6025390625,flashbang_detonate,0
