player_name,player_steamid,event_name,tick,round
Siraissi,76561198178993731,player_jump,175069,0
AVARA KÉRABA,76561198397576589,player_jump,175129,0
Siraissi,76561198178993731,player_jump,175137,0
【﻿ＰＫ】,76561197996437459,player_jump,175293,0
Siraissi,76561198178993731,player_jump,175303,0
Erick,76561198000238678,player_jump,175325,0
Erick,76561198000238678,player_jump,175493,0
MonsTro,76561198340888446,player_jump,175599,0
【﻿ＰＫ】,76561197996437459,player_jump,175637,0
Siraissi,76561198178993731,player_jump,175653,0
AVARA KÉRABA,76561198397576589,player_jump,176439,0
Siraissi,76561198178993731,player_jump,176959,0
MonsTro,76561198340888446,player_jump,177247,0
MonsTro,76561198340888446,player_jump,177383,0
MonsTro,76561198340888446,player_jump,177563,0
Siraissi,76561198178993731,player_jump,177779,0
AVARA KÉRABA,76561198397576589,player_jump,177933,0
AVARA KÉRABA,76561198397576589,player_jump,177979,0
Siraissi,76561198178993731,player_jump,178293,0
AVARA KÉRABA,76561198397576589,player_jump,178479,0
AVARA KÉRABA,76561198397576589,player_jump,178845,0
MonsTro,76561198340888446,player_jump,178883,0
AVARA KÉRABA,76561198397576589,player_jump,178887,0
Siraissi,76561198178993731,player_jump,178895,0
AVARA KÉRABA,76561198397576589,player_jump,178931,0
Siraissi,76561198178993731,player_jump,178953,0
MonsTro,76561198340888446,player_jump,178961,0
Siraissi,76561198178993731,player_jump,179009,0
Siraissi,76561198178993731,player_jump,179053,0
Siraissi,76561198178993731,player_jump,179107,0
【﻿ＰＫ】,76561197996437459,player_jump,180784,0
Cujura,76561198051880621,player_jump,180798,0
MonsTro,76561198340888446,player_jump,180830,0
【﻿ＰＫ】,76561197996437459,player_jump,180830,0
MonsTro,76561198340888446,player_jump,180878,0
Siraissi,76561198178993731,player_jump,180966,0
Connan,76561198026214582,player_jump,181040,0
Siraissi,76561198178993731,player_jump,181086,0
Siraissi,76561198178993731,player_jump,181136,0
Luiz,76561198100001022,player_jump,181346,0
Erick,76561198000238678,player_jump,181538,0
Talevor,76561198124241179,player_jump,181674,0
Erick,76561198000238678,player_jump,181724,0
